01: 01, 02, 03, 04, 05, 06, (01)
02: 01, 07, 08, 09, 10, 11, (07)
03: 01, 12, 13, 14, 15, 16, (13)
04: 01, 17, 18, 19, 20, 21, (19)
05: 01, 22, 23, 24, 25, 26, (25)
06: 01, 27, 28, 29, 30, 31, (31)

07: 02, 07, 12, 17, 22, 27, (02)
08: 02, 08, 13, 18, 23, 28, (08)
09: 02, 09, 14, 19, 24, 29, (09)
10: 02, 10, 15, 20, 25, 30, (10)
11: 02, 11, 16, 21, 26, 31, (11)

12: 03, 07, 13, 19, 25, 31, (03)
13: 03, 08, 14, 20, 26, 27, (14)
14: 03, 09, 15, 21, 22, 28, (21)
15: 03, 10, 16, 17, 23, 29, (23)
16: 03, 11, 12, 18, 24, 30, (30)

17: 04, 07, 14, 21, 23, 30, (04)
18: 04, 08, 15, 17, 24, 31, (15)
19: 04, 09, 16, 18, 25, 27, (18)
20: 04, 10, 12, 19, 26, 28, (26)
21: 04, 11, 13, 20, 22, 29, (29)

22: 05, 07, 15, 18, 26, 29, (05)
23: 05, 08, 16, 19, 22, 30, (16)
24: 05, 09, 12, 20, 23, 31, (20)
25: 05, 10, 13, 21, 24, 27, (24)
26: 05, 11, 14, 17, 25, 28, (28)

27: 06, 07, 16, 20, 24, 28, (06)
28: 06, 08, 12, 21, 25, 29, (12)
29: 06, 09, 13, 17, 26, 30, (17)
30: 06, 10, 14, 18, 22, 31, (22)
31: 06, 11, 15, 19, 23, 27, (27)
